Формула-1; ИП Ермачков В.Б.;Россия; Омск; ул. 7-я Северная; 20; +79059233448; http://www.sibek.ru; slava@pkfsibek.ru;Россия; Омск; ул. 1-я Линия; 2; +79031111010; http://www.sibek.ru; slava@pkfsibek.ru
Козленко; ИП Козленко В.Б.; Россия; Омск; ул. 17-я Северная; 5; +7XXXXXXXXXX; ; ; ; ; ; ;
Ива-сервис; ЗАО "Ива-сервис"; Россия; Омск; ул. 19-я Северная; 202; +70000000000; http://iva-service.ru; info@iva-service.ru; ; ; ; ; ; ;
Каталкин; ИП Каталкин В.Б.; Россия; Омск; ул. 20-я Северная; 89; 23-45-89; http://vkontavkte.ru/katalkin; katalkin@mail.ru; ; ; ; ; ; ;
Рога и копыта; ООО "Рога и копыта"; Россия; Омск; ул. 24-я Северная; 12; 3812457898;; xz@rambler.ru; ; ; ; ; ; ;
Стройсервис; ООО "Стройсервис"; Россия; Калачинск; ул. Ленина; 1; 381222222; http://www.stroyservice.ru; info@stroyservice.ru; ; ; ; ; ; ;
Новый путь; ООО "Новый путь"; Россия; Омск; ул. 3-я Северная; 12; 3812363636; http://www.new-way.ru; info@new-way.ru; ; ; ; ; ; ;
Кристалл; ООО "Кристалл-Авто"; Россия; Омск; ул. 25-я Северная; 99; 50-50-50; http://www.1gb.ru; diamond@1gb.ru; ; ; ; ; ; ;
Родео; ООО "Родео"; Россия; Омск; ул. 18-я Северная; 159; 60-60-60; http://www.rodeo.ru; office@rodeo.ru; ; ; ; ; ; ;
Формула-2; ИП Ермачков В.Б.; Россия; Омск; ул. 2-я Северная; 23; 74-15-16; http://www.sibek.ru; slava@pkfsibek.ru; ; ; ; ; ; ;
Частное лицо; Частное лицо; ; ; ; ; ; ; ; ; ; ; ; ; ;
