204,0,12,"Шиноремонт"
205,204,4,"Монтаж шин"
206,204,5,"Балансировка"
207,204,6,"Ремонт покрышек"
208,204,8,"Ремонт дисков"
433,208,3,"Пескоструйная обработка литых дисков"
434,414,9,"Протяжка динамометрическим ключём"
477,414,4,"Подкачка колеса"
277,169,5,"Переборка трамблёра"
278,169,6,"Ремонт электропроводки"
279,169,8,"Регулировочные работы"
280,279,1,"Регулировка фар"
282,193,1,"Установка защитного устройства картера двигателя"
283,158,1,"Съём-установка бензонасоса"
284,158,2,"Съём-установка фильтра тонкой очистки"
234,147,1,"Капитальный ремонт двигателя"
235,147,2,"Съём-установка подушки ДВС"
236,147,3,"Съём-установка головки цилиндра"
237,175,1,"Съём-установка средней рулевой тяги"
238,175,2,"Замена рулевой тяги или наконечника"
239,175,3,"Замена защитного колпачка рулевой тяги или наконечника"
240,175,4,"Съём-установка маятникового рычага в сборе"
241,176,1,"Замеа рулевой рейки"
242,176,2,"Замена пыльника на рулевой рейке"
243,176,3,"Замена рем. комплекта на рулевую рейку"
244,176,4,"Регулировка рулевой рейки"
245,177,1,"Съём-установка суппорта переднего тормоза"
246,177,2,"Ремонт суппорта переднего тормоза"
247,177,3,"Замена тормозного диска"
248,177,4,"Съём-установка соединительной трубы суппорта"
249,177,5,"Замена тормозного шланга"
250,177,6,"Замена передних тормозных колодок"
251,177,7,"Замена задних тормозных колодок"
252,177,8,"Замена тросса ручного тормоза"
253,177,9,"Съём-установка тормозного барабана (пара)"
254,177,10,"Заменаглавного тормозного цилиндра"
255,177,11,"Замена заднего тормозного цилиндра"
256,177,12,"Замена тормозной трубки (длинной, короткой)"
257,177,13,"Замена вакуума"
272,169,1,"Съём-установка стартера"
273,169,2,"Съём-установка генератора"
126,0,13,"Ремонт"
258,177,14,"Съём-установка регулятора давления тормозов"
275,169,3,"Переборка стартера"
165,126,3,"Подвеска"
146,126,1,"Двигатель"
147,146,1,"Двигатель"
158,146,2,"2. Топливная аппаратура"
160,126,2,"Трансмиссия"
166,126,4,"Системы управления"
162,160,1,"Сцепление"
169,126,5,"Автоэлектрика"
168,165,1,"Шаровые"
176,166,2,"Рулевое управление"
174,126,6,"Кузов"
175,166,1,"Рулевые тяги"
177,166,3,"Тормозная система"
178,166,4,"Смазочно-заправочные работы"
179,165,2,"Рычаги"
180,165,3,"Передняя подвеска"
181,165,4,"Задняя подвеска"
362,180,3,"Съём-установка амортизатора передней подвески"
183,165,6,"Ступицы"
184,165,7,"Смазочно-заправочные работы"
185,160,2,"Коробка передач"
186,160,3,"Карданная передача"
187,160,4,"Задний мост"
188,160,5,"Передний мост"
189,160,6,"Передний привод"
190,160,7,"Смазочно-заправочные работы"
191,146,3,"Система выпуска выхлопных газов"
192,146,4,"Система охлаждения двигателя"
193,146,5,"Элементы механической защиты двигателя"
194,146,6,"Смазочно-заправочные работы"
276,169,4,"Переборка генератора"
259,177,15,"Замена шаровой опоры"
260,177,16,"Замена верхнего рычага"
261,177,17,"Замена нижнего рычага"
262,177,18,"Замена сайлентблоков"
263,177,19,"Замена рулевого маятника"
264,177,20,"Замена реактивных тяг (1 шт.)"
265,177,21,"Съём-установка задних проставок под стойки"
266,177,22,"Замена краба"
267,177,23,"Осмотр ходовой части"
268,178,1,"Замена тормозной жидкости"
270,166,5,"Регулировочные работы"
271,270,1,"Регулировка стояночного тормоза"
285,191,1,"Съём-установка приёмной трубы (штанов)"
286,191,2,"Замена резонатора"
287,191,3,"Замена основного глушителя"
288,191,4,"Замена ремня"
289,191,5,"Съём-установка соединительного хомута"
290,191,6,"Замена прокладок коллектора"
291,192,1,"Замена крана отопителя"
292,192,2,"Съём-установка радиатора"
293,192,3,"Съём-установка радиатора отопителя"
294,194,4,"Замена тосола"
295,147,4,"Ремонт головки цилиндров (полный)"
296,147,5,"Замена поршневых колец"
297,147,6,"Замена звёздочек ГРМ"
298,147,7,"Замена лобового сальника коленвала (не сним. кр.)"
299,147,8,"Замена гайки храповика"
300,147,9,"Съём-установка шкифа коленвала"
301,147,10,"Замена коренного сальника коленвала"
304,147,12,"Замена ремня ГРМ"
303,147,11,"Съём-установка распредвала"
305,147,13,"Съём-установка натяжителя цепи"
306,147,14,"Съём-установка натяжного подшипника ремня ГРМ"
307,147,15,"Замена башмака натяжителя цепи"
308,147,16,"Замена успокоителя цепи"
309,147,17,"Замена сальников клапанов"
310,194,5,"Замена охлаждающей жидкости"
311,194,1,"Замена масла в двигателе"
312,194,2,"Замена масла в двигателе с промывкой"
313,162,1,"Съём-установка диска сцепления"
314,162,2,"Съём-установка троса привода выкл. сцепления"
315,162,3,"Съём-установка главного цилиндра сцепления"
316,162,4,"Съём-установка рабочего цилиндра сцепления"
317,185,1,"Съём-установка КПП"
318,185,2,"Ремонт КПП полный"
319,185,3,"Замена картера КПП на а/м"
320,185,4,"Съём-установка раздаточной коробки"
321,185,5,"Ремонт раздаточной коробки"
322,190,1,"Замена масла в КПП"
323,190,2,"Замена масла в раздаточной коробке"
324,186,1,"Съём-установка карданного вала"
325,186,2,"Замена крестовины на карданном вале (1 шт.)"
326,186,3,"Замена подшипника опоры карданного вала (при снятом вале)"
